website_url,county_name
https://beacon.schneidercorp.com/Application.aspx?AppID=144,Pocahontas County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=135,Poweshiek County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=508,Ringgold County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=75,Sac County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=1024,Scott County / City of Davenport Iowa
https://beacon.schneidercorp.com/Application.aspx?AppID=11,Shelby County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=10,Sioux City IA
https://beacon.schneidercorp.com/Application.aspx?AppID=984,Sioux County  IA
https://beacon.schneidercorp.com/Application.aspx?AppID=165,Story County IA / City of Ames
https://beacon.schneidercorp.com/Application.aspx?AppID=1239,Taylor County  IA
https://beacon.schneidercorp.com/Application.aspx?AppID=225,Union County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=595,Wapello County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=9,Warren County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=1036,Washington County  IA
https://beacon.schneidercorp.com/Application.aspx?AppID=723,Webster County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=73,Winnebago County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=110,Winneshiek County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=10,Woodbury County IA / Sioux City
https://beacon.schneidercorp.com/Application.aspx?AppID=588,Worth County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=399,Wright County IA
